Link,Location,Title,Company,Description
https://www.naukri.com/job-listings-data-scientist-sr-analyst-societe-generale-global-solution-centre-pvt-ltd-bengaluru-bangalore-2-to-4-years-260620901391?src=jobsearchDesk&sid=15940319270354833&xp=1&px=1,Bengaluru,Data Scientist - Sr. Analyst,Societe Generale,"Job descriptionResponsibilitiesMARK-NCG-SAS ( KRI) is in charge of operational and conduct key risk indicators for MARK BL: identification, prevention, definition and implementation of the control framework, etc Also handles the supervision of benchmarks, the implementation of regulations and will contribute to the strengthening of MARK's governance.Profile RequiredDeliver and complete KRI activities and tasks related to assigned process with expected quality and timeliness. Monitoring and tracking on Operation KRI process handling additional ad hoc responsibilities i.e., updating SOP's, taking cross trainings, PDP's, completion of controls with in agree timelines etc. Work on projects and process improvements which will lead to better efficiency of implemented controls, Automation of dashboards to meet the changing needs of the BL. Collaborates with peers, Lead, Supervisor, stakeholders to implement system/process improvements. Analytical - Ability to analyze data sets for irregularities. Uses intuition and experience to complement data; Work with business unit to understand business, concerns, future plans and offer support to mitigate risk. Being Proactive in resolving cases rather than reactive. Individuals work directly with data and information, creating meaningful analyses, reports and management presentations in support of client, business unit or function activities and performance. Types of analysis and reporting may include: quality review, workflow analysis, process improvement, regular business or client reporting, budget management, financial reporting and/or a variety of other function specific purposes. Advanced knowledge on Reporting tools, Dashboard KRI,KPI creation, Advance Excel, VBA, Macro. Skilled knowledge on the Technical and functional aspect of the process Level of Autonomy - Problem Solving, Take Ownership, Client Focus Delivers Production with no assistance of SME, is independent in performing all the tasks. Maintains 100% quality and adheres to all timelines.Competencies Excellent command of English, solid writing and oral presentation skills Self motivator and team player with strong interpersonal skills Have a strong hold on various reporting tools like VBA, advance Excel, Macro Creation, SQL.  Strong problem-solving abilities, excellent analytical skills Basic knowledge or experience in Global markets and Operational Risk.. Knowledge of national as well as Display team spirit - Ability to work well within a team environment Should have stress tolerance Flexible and adaptable to suit the requirements of the team and organization. Integrity Ability to work effectively at all levels of the organization Takes initiative and is accountable Ability to work independently Competent project facilitation skills Ability to work effectively with business management Ability to think conceptually Strong interpersonal, analytical, and communication skills Ability to contribute to large, complex working groups Experience working under tight deadlines with multiple deliverables Candidate should be self-motivated Eye for Details - Good attention to quality and detail to Risk.Why Join Us""We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status"".  RoleData Analyst,Industry TypeIT-Software, Software Services,Functional AreaAnalytics & Business Intelligence,Employment TypeFull Time, PermanentRole CategoryAnalytics & BIEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsWorkflow AnalysisVBAFinanceBankingClient ReportingBudget ManagementAdvanced ExcelDashboardsReporting ToolsSQL"
https://www.naukri.com/job-listings-data-analyst-data-engineer-data-consultant-aine-info-tech-pvt-ltd-chennai-delhi-ncr-bengaluru-bangalore-0-to-2-years-280520004145?src=jobsearchDesk&sid=15940319270354833&xp=3&px=1,"Chennai, Delhi NCR, Bengaluru","Data Analyst, Data Engineer, Data Consultant",AINE Info Tech Pvt Ltd,"Job descriptionOur data analysts are the drivers behind our continued growth and success. We are currently searching for a Data Analyst for our Digital Capability Team to help them plan design, develop and manage efficient systems in support of core organizational functions and business processes.  Job Scope:  Handle Data Analytics processes using various solutions such as: Tableau / QlikView / SAS / SPSS  Working on programming languages such as R, Phyton, SQL    Assist our IT and Digital Capability team in:Managing master data, including creation, updates, and deletion / ETL Creating and cleaning data sources, transform and mine data Leverage analytics to identify data patterns or build analytics Integrating big data analytics with spatial analytics Managing and designing the reporting environment, including data sources, security, and metadata. Build data visualization in dashboard application to display reports Generating reports from single or multiple systems. Providing technical expertise on data storage structures, data mining, and data cleansing    Required Candidate profileDegree in IT, Computer Science, Economics, Commerce with exposure to data analysis will be preferred Knowledge in Data Mining / Data Science workflows or ETL Processes  Experience with open source languages such as Python, R, Scala, Spark is an advantage  Experience in databases such as Oracle, MS SQL Server, MySQL, PostgreSQL, RDBMS, etc. an advantage    Strong communication skills, independent attitude and a desire to work in a team environment  Statistical mindset; exceptional analytical and problem-solving skills Excellent communication skills in EnglishFreshers with relevant internships and projects are welcome to apply    Perks and Benefits * Health Insurance * Dental package * Higher EPF contributionRoleData Analyst,Industry TypeIT-Software, Software Services,Functional AreaAnalytics & Business Intelligence,Employment TypeFull Time, PermanentRole CategoryAnalytics & BIEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsData ScienceBusiness IntelligenceRBig Data AnalyticsData EngineerData VisualizationData ConsultantData AnalyticsSQLPython"
https://www.naukri.com/job-listings-machine-learning-engineer-data-scientist-autodesk-india-pvt-ltd-bengaluru-bangalore-3-to-8-years-100620500758?src=jobsearchDesk&sid=15940319270354833&xp=5&px=1,Bengaluru,Machine Learning Engineer/Data Scientist,Autodesk India Pvt Ltd,"Job description          Position Overview     Autodesk is seeking aMachine Learning Engineer/Data Scientist to join our Sales Data Science team.We build innovative data products and machine learning solutions for Autodesk ssales teams. In this critical role, you will work alongside product development,product managers, and data engineers to tackle fundamental data gathering,management, and understanding of our APAC sales region. The ideal candidate isa strong communicator and has experience as a Data Analyst or Data Engineer whohas strong Data Science leanings and has built out multiple analytic models andmachine learning algorithms before. Data, automation and advancedanalytics technologies are drastically transforming our sales team in APAC andthis person will be the data scientist in charge of overviewing our datascience practice in Singapore, India, China, Korea, Australia, and New Zealand      As the Data Scientistfor APAC, your primary responsibility will be to empower our sales teams withmachine learning models and data analytics to make them more productive andbetter equipped to be customer centric. You will collaborate with our DataScientists in Barcelona and the US to build major data science products. Youwill be in charge of establishing and maintaining machine learning deploymentpipelines, including their associated life-cycle management systems andpractices, in coordination with their architecture peers and communities ofpractice throughout the company           Responsibilities:      Designing and implementing Machine Learning models and algorithms that enable account selection, customer targeting, and process improvements for the sales teams in APAC    Develop and maintain model deployment pipelines for many types of machine learning including supervised and unsupervised learning as well as CNNs, RNNs or other deep learning algorithms    Working closely with data scientists, domain experts and sales team, both to understand model performance management requirements and design suitable inferencing instrumentation systems and practices that meet them    Designing and implementing outbound data engineering pipelines that serve curated datasets to business intelligence and reporting    Designing integration solutions including applications as needed to deliver inferencing outcomes or curated data sets for consumption and action    Ensuring your model deployment, outbound data engineering and integration pipelines are architecturally and operationally integrated with inbound ingestion and contextualization pipelines designed by your peer domain architects    Delivering and presenting results to sales leaders regarding their business, forecast, pipeline, and potential customers          Minimum Qualification      Advanced degrees in computer science and data science strongly preferred, though an equivalent level engineering, data science or mathematics degree, a technical undergraduate degree and relevant experience will also be considered    8 plus years of relevant work experience    3 years of experience working with data scientists in a data engineering or production machine learning inferencing capacity, working with various types of supervised and unsupervised learning algorithms for classification, recommendation, anomaly detection, clustering and segmentation, as well as CNNs, RNNs or other deep learning algorithms    5 years of full-stack experience developing large scale distributed systems and multi-tier applications    5 years of programming proficiency in, at least, one modern JVM language (e.g. Java, Kotlin, Scala) and at least one other high-level programming language such as Python    2 years of production DevOps experience    3 years of programming on the Apache Spark platform, leveraging both low level RDD and MLlib APIs and the higher-level APIs (SparkContext, DataFrames, DataSets, GraphFrames, SparkSQL, SparkML).    Demonstrated deep understanding of Spark core architecture including physical plans, DAGs, UDFs, job management and resource management    At least 1 year of implementation experience with Apache Airflow, and a demonstrated expert level understanding of both segmented and unsegmented Directed Acyclic Graphs and their operationalization    Experience working with Neo4J and a demonstrated ability to lead architecture efforts for its implementation    Strong technical collaboration and communication skills    Very strong communicator    Passion for sales and customer segmentation    Proficiency with functional programming methods and their appropriate use in distributed systems    Proficiency with AWS foundational compute services, including S3 and EC2, ECS and EKS, IAM and CloudWatch    Proficiency with Sagemaker, Kubernetes, and Docker            Preferred Qualifications      Experience with data science toolkits like: R, Pandas, Jupyter, scikit, TensorFlow, etc.    Experience with Sagemaker and data pipelines in AWS    Familiarity with statistics concepts and analysis, e.g. hypothesis testing, regression, etc.    Experience building dashboards in platform: Power BI, Tableau, Qlik, Looker, etc.    Salesforce experience is a plus    RoleDesign Engineer,Industry TypeIT-Software, Software Services,Functional AreaEngineering Design, R&D,Employment TypeFull Time, PermanentRole CategoryEngineering DesignEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsComputer scienceAutomationPerformance managementMachine learningApacheBusiness intelligenceResource managementDistribution systemPythonSalesforce"
https://www.naukri.com/job-listings-data-scientist-python-application-engineer-impact-hr-services-pvt-ltd-bengaluru-bangalore-2-to-7-years-120620004046?src=jobsearchDesk&sid=15940319270354833&xp=6&px=1,Bengaluru,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,"Job descriptioncollaborating with customers to understand their unique challenges and architect applications to address those needs,transforming those applications into robust general-purpose applications available to all customers on the marketplace. We're highly technical, and we work across a range of customers to understand their use cases, workflows, problems, prototype tools, and features, and build applications to help them solve their problems. From high-level system design, to scoping use cases, to data engineering, to application development, our work looks different every day. Put simply, we bring technical expertise to bear on the problems that matter most.Working in this area requires knowledge in the following:Very strong scripting languages skills [Python]Very strong data engineering skills [data parsing, web scraping, data transformation, data integration, etc.]Ability to parse structured data from messy text [html, word document, images (ocr), pdf, etc.]Ability to integrate data from various data sourcesKnowledge of regex, and data parsing/cleaning libraries (pandas, beautiful-soup, etc.)Knowledge of data analysis tools (for example: pandas), NLP tools (for example: spacy, stanford NLP, etc), Image Processing tools (for example: opencv), and Machine Learning tools (for example: scikit-learn etc.)Ability to quickly script a working solution for a given problemCreative problem-solving skillsA results-focused mindsetRequirementsLanguages: PythonExperience in ""wrangling"" datasetsWeb Fundamentals, APIs, REST, and GraphQLDatabase Systems and SQLRoleSoftware Developer,Industry TypeIT-Software, Software Services,Functional AreaIT Software - Application Programming, Maintenance,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsOpencvImage ProcessingWeb TechnologiesSpacyMachine LearningScikit - LearnWeb ScrapingPythonSQLOCR"
https://www.naukri.com/job-listings-data-scientist-python-application-engineer-impact-hr-services-pvt-ltd-bengaluru-bangalore-4-to-9-years-180620000714?src=jobsearchDesk&sid=15940319270354833&xp=7&px=1,Bengaluru,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,"Job descriptioncollaborating with customers to understand their unique challenges and architect applications to address those needs,transforming those applications into robust general-purpose applications available to all customers on the marketplace. We're highly technical, and we work across a range of customers to understand their use cases, workflows, problems, prototype tools, and features, and build applications to help them solve their problems. From high-level system design, to scoping use cases, to data engineering, to application development, our work looks different every day. Put simply, we bring technical expertise to bear on the problems that matter most.Working in this area requires knowledge in the following:Very strong scripting languages skills [Python]Very strong data engineering skills [data parsing, web scraping, data transformation, data integration, etc.]Ability to parse structured data from messy text [html, word document, images (ocr), pdf, etc.]Ability to integrate data from various data sourcesKnowledge of regex, and data parsing/cleaning libraries (pandas, beautiful-soup, etc.)Knowledge of data analysis tools (for example: pandas), NLP tools (for example: spacy, stanford NLP, etc), Image Processing tools (for example: opencv), and Machine Learning tools (for example: scikit-learn etc.)Ability to quickly script a working solution for a given problemCreative problem-solving skillsA results-focused mindsetRequirementsB.E.Languages: PythonExperience in ""wrangling"" datasetsWeb Fundamentals, APIs, REST, and GraphQLDatabase Systems and SQLRoleSoftware Developer,Industry TypeIT-Software, Software Services,Functional AreaIT Software - Application Programming, Maintenance,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :Any Graduate in Any Specialization, Graduation Not RequiredPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsOpencvImage ProcessingWeb TechnologiesSpacyMachine LearningScikit - LearnWeb ScrapingPythonSQLOCR"
https://www.naukri.com/job-listings-sr-data-scientist-analyst-speridian-technologies-pvt-ltd-mumbai-bengaluru-bangalore-10-to-15-years-250620501132?src=jobsearchDesk&sid=15940319270354833&xp=8&px=1,"Mumbai, Bengaluru",Sr. Data Scientist / Analyst,Speridian Technologies Pvt Ltd,"Job description     Experience:   10 Yrs of Relevant Experience    Skills Required:       Python, R with Big Data Background   Tableau   SQL   Artificial Intelligence      Qualification Required (Optional):   B.TechBCA from any Premium Institutes     Job Responsibilities:          Partner with product, technology, and operational leaders to turn business problems into data problems and demonstrate creativity by using existing data to solve those problems   Collaborate with business partners to identify opportunities, understand objectives, and rationalize efforts to support strategic business objectives with both short-term and long-term deliveries in an environment with high SLA expectations.   Analysis, data mining, and the presentation of data to uncover unique actionable insights about customer service, health of public conversation and social media      RoleSoftware Developer,Industry TypeStrategy, Management Consulting Firms,Functional AreaIT Software - Application Programming, Maintenance,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :BCA in Computers, B.Tech/B.E. in Production/IndustrialPG :Post Graduation Not RequiredKey SkillsAnalystArtificial IntelligenceSocial mediaManager TechnologyCustomer serviceData miningbig dataOperationsSQLPython"
https://www.naukri.com/job-listings-data-analyst-data-scientist-veda-semantics-bengaluru-bangalore-3-to-5-years-061219501390?src=jobsearchDesk&sid=15940319270354833&xp=9&px=1,Bengaluru,Data Analyst / Data Scientist,Veda Semantics,"Job description   Create your Trusted Network      Digital Identity amp; Transaction Management of People , Devices and Things      Multi Factor Authentication Simplified      Over 15 modes of authentication securing online access for your applications      Enabling Paperless Transformation      Using legally valid eSignatures trusted by over 20 million users      Public Key Infrastructure      Comprehensive suite of solutions for lifecycle management of Digital Signature Certificates     Enabling Secure Authentication of People , Applications and Things    RoleExecutive/ Sr Executive - Administration,Industry TypeBPO, Call Centre, ITeS,Functional AreaHR, Recruitment, Administration, IR,Employment TypeFull Time, PermanentRole CategoryAdministration/Facility ManagementEducationUG :B.Tech/B.E. in Production/IndustrialPG :MCA in ComputersKey SkillsHealth insuranceAnalyticalRelationship buildingMachine learningData collectionWellnessBusiness Development ExecutiveCustomer serviceData miningInformation technology"
https://www.naukri.com/job-listings-data-scientist-data-science-engineer-with-mnc-hyd-bng-delhi-ncr-m-associates-it-services-pvt-ltd-delhi-ncr-bengaluru-bangalore-hyderabad-secunderabad-2-to-6-years-140919005276?src=jobsearchDesk&sid=15940319270354833&xp=10&px=1,"Delhi NCR, Bengaluru, Hyderabad","Data Scientist /Data Science Engineer  with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd. ,"Job descriptionGreetings from M Associates IT Services!!!we have Data Science Engineer / Data Scientist position available with our client @ HYD/BNG/DelhiNCR.NOTE : Selected candidates will have the opportunity to work with world-class trading, research, and computer science teams based in Noida / New York.Job Description : Position : Data Science Engineer / Data ScientistExperience : 2 - 6 Yrs (Relevant)Qualification : B.E/B.Tech (OR) M.E. /M.Tech in Computer Science, Electrical Engineering, or related fields.Job Location : HYD/BNG/DelhiNCRA) Job Responsibility:Design, develop, test and deploy data solutions across the firmWork closely with global team members to enhance existing systems and create new onesB) General Skills:Ability to process large data sets (financial data, alternative data) into proper formats.Production monitoring of data sets and data jobsStrong Experience with Python required. Experience with C, Java or C++ is a plus.Experience with Linux systems required.Strong knowledge in Financial Data such as Thomson Reuters, Bloomberg. Proficiency in databases such as MongoDB. Knowledge of Cloud Computing platforms such as AWS, Hadoop, etcAble to think independently and creativelyIf you are interested, please share your updated profile to srinvias.m@maitspl.com with below required details;Total Experience :Relevant Experience :Current CTC :Expected CTC :Notice Period :  RoleSoftware Developer,Industry TypeIT-Software, Software Services,Functional AreaIT Software - Client/Server Programming,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :B.Tech/B.E. in Electrical, Electronics/Telecommunication, Any Specialization, ComputersPG :M.Tech in Computers, Any Specialization, Electrical, Electronics/TelecommunicationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillspythonc++cjavadata scienceData science engineerData ScientistlinuxhadoopFinancial dataawscloud computing"
https://www.naukri.com/job-listings-machine-learning-engineer-data-scientist-autodesk-india-private-limited-bengaluru-bangalore-5-to-10-years-310520001305?src=jobsearchDesk&sid=15940319270354833&xp=11&px=1,Bengaluru,Machine Learning Engineer/data Scientist,AUTODESK INDIA PRIVATE LIMITED,"Job descriptionAutodesk is seeking a Machine Learning Engineer/Data Scientist to join our Sales Data Science team. We build innovative data products and machine learning solutions for Autodesk's sales teams. In this critical role, you will work alongside product development, product managers, and data engineers to tackle fundamental data gathering, management, and understanding of our APAC sales region.The ideal candidate is a strong communicator and has experience as a Data Analyst or Data Engineer who has strong Data Science leanings, and has built out multiple analytic models and machine learning algorithms before. Data, automation and advanced analytics technologies are drastically transforming our sales team in APAC and this person will be the data scientist in charge of overviewing our data science practice in Singapore, India, China, , Korea, Australia, and New Zealand. As the Data Scientist for APAC, your primary responsibility will be to empower our sales teams with machine learning models and data analytics to make them more productive and better equipped to be customer-centric. You will collaborate with our Data Scientists in Barcelona and the US to build major data science products.You will be in charge of establishing and maintaining machine learning deployment pipelines, including their associated life-cycle management systems and practices, in coordination with their architecture peers and communities of practice throughout the companyYour responsibilities will be: Designing and implementing Machine Learning models and algorithms that enable account selection, customer targeting, and process improvements for the sales teams in APAC.Develop and maintain model deployment pipelines for many types of machine learning including supervised and unsupervised learning as well as CNNs, RNNs or other deep learning algorithmsWorking closely with data scientists, domain experts and sales team, both to understand model performance management requirements and design suitable inferencing instrumentation systems and practices that meet themDesigning and implementing outbound data engineering pipelines that serve curated datasets to business intelligence and reportingDesigning integration solutions including applications as needed to deliver inferencing outcomes or curated data sets for consumption and actionEnsuring your model deployment, outbound data engineering and integration pipelines are architecturally and operationally integrated with inbound ingestion and contextualization pipelines designed by your peer domain architects Delivering and presenting results to sales leaders regarding their business, forecast, pipeline, and potential customers.Education & Experience:Advanced degrees in computer science and data science strongly preferred, though an equivalent level engineering, data science or mathematics degree, a technical undergraduate degree and relevant experience will also be considered 8+ plus years of relevant work experience 3+ years of experience working with data scientists in a data engineering or production machine learning inferencing capacity, working with various types of supervised and unsupervised learning algorithms for classification, recommendation, anomaly detection, clustering and segmentation, as well as CNNs, RNNs or other deep learning algorithms 5+ years of full-stack experience developing large scale distributed systems and multi-tier applications 5+ years of programming proficiency in, at least, one modern JVM language (e.g. Java, Kotlin, Scala) and at least one other high-level programming language such as Python2+ years of production DevOps experience3+ years of programming on the Apache Spark platform, leveraging both low level RDD and MLlib APIs and the higher-level APIs (SparkContext, DataFrames, DataSets, GraphFrames, SparkSQL, SparkML).Demonstrated deep understanding of Spark core architecture including physical plans, DAGs, UDFs, job management and resource managementAt least 1 year of implementation experience with Apache Airflow, and a demonstrated expert level understanding of both segmented and unsegmented Directed Acyclic Graphs and their operationalization Experience working with Neo4J and a demonstrated ability to lead architecture efforts for its implementation  Strong technical collaboration and communication skillsAdditional Qualifications:Very strong communicatorPassion for sales and customer segmentationProficiency with functional programming methods and their appropriate use in distributed systems Proficiency with AWS foundational compute services, including S3 and EC2, ECS and EKS, IAM and CloudWatch Proficiency with Sagemaker, Kubernetes, and Docker Preferred QualificationsExperience with data science toolkits like: R, Pandas, Jupyter, scikit, TensorFlow, etc.Experience with Sagemaker and data pipelines in AWSFamiliarity with statistics concepts and analysis, e.g. hypothesis testing, regression, etc.Experience building dashboards in platform: Power BI, Tableau, Qlik, Looker, etc.Salesforce experience is a plusAbout Autodesk www.autodesk.comWith Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It's disrupting every industry: architecture, engineering, and construction; manufacturing; and media and entertainment. With the right knowledge and tools, this disruption is your opportunity. Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our ultimate goal is to expand opportunities for anyone to imagine, design, and make a better world.Perks and Benefits Best in the industryRoleSoftware Developer,Industry TypeIT-Software, Software Services,Functional AreaIT Software - Application Programming, Maintenance,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :B.Tech/B.E. in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillskubernetesscalaanomaly detectiondockersalesforcedeep learningtensorflowjupyterjavadata scienceEC2lookersagemakerpythonkotlinpower bimachine learningunsupervised learningqlikviewpandasrtableaucloudwatchawsscikit"
https://www.naukri.com/job-listings-data-scientist-engineering-promptcloud-technologies-private-limited-bengaluru-bangalore-2-to-3-years-230620002426?src=jobsearchDesk&sid=15940319270354833&xp=12&px=1,Bengaluru,Data Scientist -  Engineering,PromptCloud Technologies Private Limited ,"Job descriptionRoles and Responsibilities  - Work closely with product teams to implement new products and feature using ML. - Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules-based models - Own and drive all ML projects - Inculcate ML culture within organization Desired Candidate Profile - 2 to 3 years of relevant work experience  - Strong programming skills with proven experience crafting, prototyping, and delivering advanced algorithmic solutions - A passion for making ML methods robust and scalable - Experience in extraction from structured/unstructured text (knowledge or statistics based) - Experience in one or more of the following areas: entity/relation extraction, normalization, text summarization, semantic search, word/paragraph/document embedding, ranking etc. - NLP algorithm implementation experience as well as the ability to modify standard algorithms (e.g. change objectives, work-out the math and implement) - Experience in deep learning approaches to NLP: word/paragraph embedding representation learning, text/sentiment classification - Experience with neural networks and deep learning frameworks (such as Keras, tensorflow, torch) - Familiarity with database queries and data analysis processes (SQL, Python) - Expert level knowledge in natural language processing, information extraction and text mining algorithms, tech stacks and experience with datasets - benchmark and real world. - Track record of leading, building and deploying production NLP systems on large scale text data. If he has a research paper with one year experience -- this is an exception and you can consider this profile. or else 2 years mandatory  Perks and Benefits A supportive and creative work environment-Daily lunch -37 Annual leaves per year-2 Increment per year-Flexible working hours-Employee recognition and awards-A wellness program that includes partial-paid gym membership and fully-paid health insurance-Coffee and snacks (of course)-Stress free work environment. RoleTechnical Architect,Industry TypeIT-Software, Software Services,Functional AreaIT Software - Application Programming, Maintenance,Employment TypeFull Time, PermanentRole CategoryProgramming & DesignEducationUG :Graduation Not RequiredKey SkillsTensorflownlpphythonMachine LearningDeep Learning"
